student_id,name,gender,form_class,score,band
1,Liam Rodriguez,Male,9B,74,Merit
2,James Brown,Male,11B,80,Distinction
3,Sebastian Wilson,Male,9A,34,Needs Support
4,Oliver Miller,Male,9B,40,Pass
5,Mason Miller,Male,11B,87,Distinction
6,Amelia Anderson,Female,11A,54,Pass
7,Emma Garcia,Female,11B,56,Pass
8,Abigail Rodriguez,Female,9B,42,Pass
9,Jack Brown,Male,9A,46,Pass
10,Isabella Lopez,Female,10A,78,Merit
11,Olivia Anderson,Female,11A,42,Pass
12,Alexander Williams,Male,11A,87,Distinction
13,Victoria Lopez,Female,11A,54,Pass
14,Oliver Johnson,Male,11B,68,Merit
15,Theodore Williams,Male,9B,67,Merit
16,Alexander Rodriguez,Male,10B,66,Merit
17,Mia Lopez,Female,10A,46,Pass
18,Henry Williams,Male,11A,58,Pass
19,Mason Davis,Male,9B,88,Distinction
20,Elizabeth Rodriguez,Female,11B,66,Merit
