student_id,name,gender,form_class,score,band
1,Liam Rodriguez,Male,9B,60,Merit
2,James Brown,Male,11B,55,Pass
3,Sebastian Wilson,Male,9A,53,Pass
4,Oliver Miller,Male,9B,87,Distinction
5,Mason Miller,Male,11B,91,Distinction
6,Amelia Anderson,Female,11A,74,Merit
7,Emma Garcia,Female,11B,70,Merit
8,Abigail Rodriguez,Female,9B,50,Pass
9,Jack Brown,Male,9A,95,Distinction
10,Isabella Lopez,Female,10A,78,Merit
11,Olivia Anderson,Female,11A,43,Pass
12,Alexander Williams,Male,11A,55,Pass
13,Victoria Lopez,Female,11A,69,Merit
14,Oliver Johnson,Male,11B,82,Distinction
15,Theodore Williams,Male,9B,81,Distinction
16,Alexander Rodriguez,Male,10B,50,Pass
17,Mia Lopez,Female,10A,70,Merit
18,Henry Williams,Male,11A,71,Merit
19,Mason Davis,Male,9B,64,Merit
20,Elizabeth Rodriguez,Female,11B,46,Pass
