student_id,name,gender,form_class,score,band
1,Liam Rodriguez,Male,9B,97,Distinction
2,James Brown,Male,11B,55,Pass
3,Sebastian Wilson,Male,9A,82,Distinction
4,Oliver Miller,Male,9B,55,Pass
5,Mason Miller,Male,11B,57,Pass
6,Amelia Anderson,Female,11A,65,Merit
7,Emma Garcia,Female,11B,36,Needs Support
8,Abigail Rodriguez,Female,9B,98,Distinction
9,Jack Brown,Male,9A,68,Merit
10,Isabella Lopez,Female,10A,54,Pass
11,Olivia Anderson,Female,11A,66,Merit
12,Alexander Williams,Male,11A,84,Distinction
13,Victoria Lopez,Female,11A,86,Distinction
14,Oliver Johnson,Male,11B,76,Merit
15,Theodore Williams,Male,9B,81,Distinction
16,Alexander Rodriguez,Male,10B,27,Needs Support
17,Mia Lopez,Female,10A,57,Pass
18,Henry Williams,Male,11A,63,Merit
19,Mason Davis,Male,9B,45,Pass
20,Elizabeth Rodriguez,Female,11B,34,Needs Support
